,Cell type,Expression level
1,RIB,2632.914
2,RME_DV,1878.582
3,RIA,1339.576
4,RIS,629.236
5,I1,470.935
6,M2,337.415
7,AVL,308.246
8,HSN,287.21
9,AFD,228.485
10,RME_LR,156.104
11,ADA,117.988
12,IL1,115.311
13,AIA,108.588
14,DVA,99.906
15,OLQ,88.425
16,BAG,67.199
17,SIA,59.847
18,NSM,59.332
19,ASK,56.698
20,URA,51.494
21,M4,49.427
22,CAN,43.921
23,AS,38.944
24,RMG,26.862
25,AIM,17.272
