"","Cell type","Expression level"
"1","PVR",2279.256
"2","PVW",1363.028
"3","PVC",1065.573
"4","AVD",1056.26
"5","PDE",890.504
"6","DA",862.996
"7","HSN",860.634
"8","FLP",651.239
"9","DB",647.421
"10","VC_4_5",645.147
"11","AVJ",597.511
"12","SAB",592.687
"13","VC",577.407
"14","CEP",565.46
"15","AVF",555.248
"16","DB01",548.789
"17","BDU",540.72
"18","PVN",519.515
"19","AVG",492.341
"20","AS",490.33
"21","RID",477.035
"22","PVD",476.089
"23","I4",461.389
"24","PVM",427.184
"25","PDB",407.029
"26","PVT",406.01
"27","PVP",398.653
"28","ADE",388.301
"29","I1",376.415
"30","I3",361.115
"31","ALA",354.621
"32","AVA",324.377
"33","URB",302.355
"34","VB",289.743
"35","PLN",287.642
"36","SIB",287.367
"37","DVA",281.993
"38","SMB",271.521
"39","AVL",267.632
"40","AVB",262.906
"41","I5",247.323
"42","DA9",246.796
"43","PVQ",245.944
"44","AVK",235.065
"45","PLM",232.482
"46","SAA",222.859
"47","SMD",217.541
"48","VD_DD",215.012
"49","AIZ",213.891
"50","SDQ",212.08
"51","RME_DV",202.894
"52","PDA",194.638
"53","VA",192.037
"54","NSM",188.335
"55","VB02",187.654
"56","ALM",176.821
"57","SIA",175.36
"58","DVC",171.198
"59","M2",169.679
"60","AVH",163.16
"61","RIP",157.04
"62","RIB",152.958
"63","URA",149.842
"64","LUA",141.525
"65","IL1",138.137
"66","URY",130.235
"67","RIS",129.701
"68","DVB",117.63
"69","AVE",114.85
"70","M5",113.23
"71","ADA",105.039
"72","RMD_DV",98.492
"73","M1",98.483
"74","RIF",97.398
"75","MI",91.008
"76","AIM",89.763
"77","OLL",84.785
"78","RIH",81.686
"79","AVM",81.306
"80","CAN",80.3
"81","I2",77.436
"82","AIB",76.845
"83","RIA",72.938
"84","AIN",64.156
"85","IL2_DV",60.192
"86","RIM",57.934
"87","IL2_LR",56.196
"88","M3",55.57
"89","AQR",52.093
"90","VB01",51.939
"91","VA12",47.088
"92","RIC",43.208
"93","RIG",41.945
"94","PQR",41.493
"95","ASG",33.721
"96","RMD_LR",27.765
"97","ASI",20.888
